Station name,Ticket Barrier,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,Entries and exits - All tickets,"Entries and exits
Rank",Interchanges,Main origin or destination station,"Three Letter Code
(TLC)",Region,Station facility owner,,,,,,,,,
Falkirk High,,"229,414","338,330","49,700","617,444",660,"2,189",Edinburgh,FKK,Scotland,ScotRail,,,,,,,,,
Thames Ditton,,"275,762","263,382","78,256","617,400",661,0,London Waterloo,THD,South East,South Western Railway,,,,,,,,,
Lea Bridge,,"217,640","277,614","121,990","617,244",662,0,Stratford (London),LEB,London,Greater Anglia,,,,,,,,,
Crossmyloof,,"209,796","363,596","43,812","617,204",663,0,Glasgow Central,CMY,Scotland,ScotRail,,,,,,,,,
Elmers End,,"244,422","271,568","100,246","616,236",664,0,London Bridge,ELE,London,Southeastern,,,,,,,,,
South Acton,,"236,250","283,500","94,918","614,668",665,0,Richmond (London),SAT,London,London Overground,,,,,,,,,
Staplehurst,,"130,346","303,076","178,722","612,144",666,0,London Bridge,SPU,South East,Southeastern,,,,,,,,,
Folkestone West,,"101,402","380,930","127,998","610,330",667,"1,869",London St Pancras International,FKW,South East,Southeastern,,,,,,,,,
Penge West,,"197,776","342,046","68,944","608,766",668,0,Canada Water,PNW,London,London Overground,,,,,,,,,
Clifton Down,,"416,130","95,198","97,312","608,640",669,0,Bristol Temple Meads,CFN,South West,Great Western Railway,,,,,,,,,
Merstham,,"219,138","259,804","129,150","608,092",670,0,London Bridge,MHM,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Henley-On-Thames,,"208,976","309,202","88,654","606,832",671,0,London Paddington,HOT,South East,Great Western Railway,,,,,,,,,
West Malling,,"161,390","307,074","137,550","606,014",672,0,London Bridge,WMA,South East,Southeastern,,,,,,,,,
West Wickham,,"265,374","284,836","53,974","604,184",673,0,London Bridge,WWI,London,Southeastern,,,,,,,,,
Beverley,,"73,820","447,566","82,248","603,634",674,6,Hull,BEV,Yorkshire and The Humber,Northern Trains,,,,,,,,,
North Dulwich,,"240,904","265,528","95,684","602,116",675,0,London Bridge,NDL,London,Govia Thameslink Railway (Southern),,,,,,,,,
Larbert,,"210,638","338,482","52,444","601,564",676,0,Glasgow Queen Street,LBT,Scotland,ScotRail,,,,,,,,,
Thorpe Bay,,"267,908","201,362","127,550","596,820",677,0,London Fenchurch Street,TPB,East of England,c2c,,,,,,,,,
Birkenhead Park,,"264,098","218,144","114,218","596,460",678,0,Liverpool Central,BKP,North West,Merseyrail,,,,,,,,,
Hersham,,"222,726","207,152","164,136","594,014",679,0,London Waterloo,HER,South East,South Western Railway,,,,,,,,,
Kilwinning,,"187,556","332,382","71,224","591,162",680,"60,903",Glasgow Central,KWN,Scotland,ScotRail,,,,,,,,,
Chiswick,,"215,156","274,156","100,006","589,318",681,0,London Waterloo,CHK,London,South Western Railway,,,,,,,,,
Colchester Town,,"104,900","318,126","164,444","587,470",682,0,London Liverpool Street,CET,East of England,Greater Anglia,,,,,,,,,
Oxford Parkway,,"83,542","472,696","28,692","584,930",683,0,London Marylebone,OXP,South East,Chiltern Railways,,,,,,,,,
Glossop,,"221,440","204,938","157,944","584,322",684,0,Manchester Piccadilly,GLO,East Midlands,Northern Trains,,,,,,,,,
Bootle Oriel Road,,"153,814","313,632","116,628","584,074",685,0,Liverpool Central,BOT,North West,Merseyrail,,,,,,,,,
Menston,,"217,826","155,410","207,738","580,974",686,0,Leeds,MNN,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Stanford-Le-Hope,,"249,060","182,804","146,924","578,788",687,0,London Fenchurch Street,SFO,East of England,c2c,,,,,,,,,
Bickley,,"237,026","261,496","79,646","578,168",688,"3,410",London Victoria,BKL,London,Southeastern,,,,,,,,,
Bangor (Gwynedd),,"164,526","394,588","18,896","578,010",689,502,London Euston,BNG,Wales,TfW Rail,,,,,,,,,
Crofton Park,,"237,928","269,212","68,776","575,916",690,0,London Blackfriars,CFT,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Marston Green,,"166,542","260,272","148,710","575,524",691,0,Birmingham New Street,MGN,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Dorridge,,"122,200","302,086","150,998","575,284",692,0,Birmingham Moor Street,DDG,West Midlands,Chiltern Railways,,,,,,,,,
Rochford,,"197,532","196,522","180,620","574,674",693,0,London Liverpool Street,RFD,East of England,Greater Anglia,,,,,,,,,
East Kilbride,,"176,906","326,698","70,114","573,718",694,0,Glasgow Central,EKL,Scotland,ScotRail,,,,,,,,,
Caterham,,"212,922","240,146","118,760","571,828",695,0,London Bridge,CAT,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Cuffley,,"233,026","279,252","57,542","569,820",696,0,Moorgate,CUF,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Wandsworth Road,,"201,844","259,880","107,894","569,618",697,0,Canada Water,WWR,London,London Overground,,,,,,,,,
Burley Park,,"176,898","346,888","45,234","569,020",698,0,Leeds,BUY,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Uddingston,,"207,758","294,362","65,682","567,802",699,0,Glasgow Central,UDD,Scotland,ScotRail,,,,,,,,,
Berwick-Upon-Tweed,,0,"555,546","12,236","567,782",700,"6,581",Edinburgh,BWK,North East,London North Eastern Railway,,,,,,,,,
Aigburth,,"135,174","286,910","144,934","567,018",701,0,Liverpool Central,AIG,North West,Merseyrail,,,,,,,,,
Theobalds Grove,,"210,652","317,538","38,404","566,594",702,0,Seven Sisters,TEO,East of England,London Overground,,,,,,,,,
Penzance,,"19,470","508,214","37,040","564,724",703,"2,604",Truro,PNZ,South West,Great Western Railway,,,,,,,,,
Cheadle Hulme,,"239,606","215,138","108,912","563,656",704,"6,267",Manchester Piccadilly,CHU,North West,Northern Trains,,,,,,,,,
Lenzie,,"165,020","312,216","85,608","562,844",705,0,Glasgow Queen Street,LNZ,Scotland,ScotRail,,,,,,,,,
Lower Sydenham,,"203,130","276,284","82,758","562,172",706,0,London Bridge,LSY,London,Southeastern,,,,,,,,,
Dalmuir,,"183,722","269,272","108,538","561,532",707,"16,150",Glasgow Queen Street,DMR,Scotland,ScotRail,,,,,,,,,
Chorley,,"112,578","374,724","72,834","560,136",708,0,Preston (Lancs),CRL,North West,Northern Trains,,,,,,,,,
Diss,,"109,794","386,348","63,824","559,966",709,0,London Liverpool Street,DIS,East of England,Greater Anglia,,,,,,,,,
Essex Road,,"229,846","255,800","74,320","559,966",709,0,Highbury and Islington,EXR,London,Govia Thameslink Railway (Great Northern),,,,,,,,,
New Pudsey,,"264,270","218,896","74,144","557,310",711,0,Leeds,NPD,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Aston,,"230,546","220,590","104,056","555,192",712,"19,387",Birmingham New Street,AST,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Selby,,"95,068","396,588","62,908","554,564",713,"24,520",Leeds,SBY,Yorkshire and The Humber,TransPennine Express,,,,,,,,,
Trefforest,,"475,408","23,700","55,004","554,112",714,0,Cardiff Central,TRF,Wales,TfW Rail,,,,,,,,,
Bellgrove,,"173,078","333,678","47,290","554,046",715,"15,751",Glasgow Queen Street,BLG,Scotland,ScotRail,,,,,,,,,
High Street (Glasgow),,"183,808","318,894","51,214","553,916",716,0,Charing Cross (Glasgow),HST,Scotland,ScotRail,,,,,,,,,
